scenario,variant,feature_level,split,metric,mean,std,chance,permutation_mean,permutation_std
PROVENANCE,B0-NATURAL,STRUCTURAL,cross_task,roc_auc,1.0,0.0,0.5,0.504704113912644,0.0028756291540785184
PROVENANCE,B0-NATURAL,STRUCTURAL,grouped_entity,accuracy,1.0,0.0,0.5,0.5111753034547152,0.004273007958311074
PROVENANCE,B0-NATURAL,STRUCTURAL,grouped_entity,macro_f1,1.0,0.0,0.5,0.5026337790496312,0.007561382414279506
PROVENANCE,B0-NATURAL,STRUCTURAL,grouped_entity,roc_auc,1.0,0.0,0.5,0.5194573434814628,0.011747313702441545
PROVENANCE,B1-PER-ACTION-OBLIVIOUS,FULL_ORAM,cross_policy,accuracy,1.0,0.0,0.5,0.4960319021392979,0.009349017207975575
PROVENANCE,B1-PER-ACTION-OBLIVIOUS,FULL_ORAM,cross_policy,macro_f1,1.0,0.0,0.5,0.4913557616782324,0.007972264800715587
PROVENANCE,B1-PER-ACTION-OBLIVIOUS,FULL_ORAM,cross_policy,roc_auc,1.0,0.0,0.5,0.5031451395176685,0.009901514941652971
PROVENANCE,B1-PER-ACTION-OBLIVIOUS,FULL_ORAM,cross_task,accuracy,1.0,0.0,0.5,0.5076388888888889,0.00723356481111101
PROVENANCE,B1-PER-ACTION-OBLIVIOUS,FULL_ORAM,cross_task,macro_f1,1.0,0.0,0.5,0.5063933553631743,0.0070919011670070135
PROVENANCE,B1-PER-ACTION-OBLIVIOUS,FULL_ORAM,cross_task,roc_auc,1.0,0.0,0.5,0.5124659043856288,0.008327248916540091
PROVENANCE,B1-PER-ACTION-OBLIVIOUS,FULL_ORAM,grouped_entity,accuracy,1.0,0.0,0.5,0.5004960317460317,0.014996246485943443
PROVENANCE,B1-PER-ACTION-OBLIVIOUS,FULL_ORAM,grouped_entity,macro_f1,1.0,0.0,0.5,0.49643315346008826,0.015554090905313343
PROVENANCE,B1-PER-ACTION-OBLIVIOUS,FULL_ORAM,grouped_entity,roc_auc,1.0,0.0,0.5,0.5258522508961736,0.027381410685358057
PROVENANCE,B1-PER-ACTION-OBLIVIOUS,STRUCTURAL,cross_policy,accuracy,1.0,0.0,0.5,0.49943239294144093,0.0024963383196466623
PROVENANCE,B1-PER-ACTION-OBLIVIOUS,STRUCTURAL,cross_policy,macro_f1,1.0,0.0,0.5,0.49185784700834007,0.0026988708225431325
PROVENANCE,B1-PER-ACTION-OBLIVIOUS,STRUCTURAL,cross_policy,roc_auc,1.0,0.0,0.5,0.4995441170550864,0.0023492284181499128
PROVENANCE,B1-PER-ACTION-OBLIVIOUS,STRUCTURAL,cross_task,accuracy,1.0,0.0,0.5,0.5092013888888889,0.004684283876122261
PROVENANCE,B1-PER-ACTION-OBLIVIOUS,STRUCTURAL,cross_task,macro_f1,1.0,0.0,0.5,0.47281515533996765,0.010817028792774233
PROVENANCE,B1-PER-ACTION-OBLIVIOUS,STRUCTURAL,cross_task,roc_auc,1.0,0.0,0.5,0.504704113912644,0.0028756291540785184
PROVENANCE,B1-PER-ACTION-OBLIVIOUS,STRUCTURAL,grouped_entity,accuracy,1.0,0.0,0.5,0.5080143168378463,0.010446152903138876
PROVENANCE,B1-PER-ACTION-OBLIVIOUS,STRUCTURAL,grouped_entity,macro_f1,1.0,0.0,0.5,0.5017572347902904,0.012187947258632448
PROVENANCE,B1-PER-ACTION-OBLIVIOUS,STRUCTURAL,grouped_entity,roc_auc,1.0,0.0,0.5,0.5214565462095372,0.010286888969978076
PROVENANCE,B2-ADAPTIVE-OBLIVIOUS,FULL_ORAM,cross_policy,accuracy,0.5059907834101383,0.01946788724522378,0.5,0.4890404693217439,0.012387608504752562
PROVENANCE,B2-ADAPTIVE-OBLIVIOUS,FULL_ORAM,cross_policy,macro_f1,0.5052614470771393,0.01918881566544358,0.5,0.48067872468915385,0.013810449757386066
PROVENANCE,B2-ADAPTIVE-OBLIVIOUS,FULL_ORAM,cross_policy,roc_auc,0.4991004612977631,0.008221396038505432,0.5,0.49996758287466003,0.0145283316635425
PROVENANCE,B2-ADAPTIVE-OBLIVIOUS,FULL_ORAM,cross_task,accuracy,0.45,0.017677669529663678,0.5,0.49374999999999997,0.012891720983150674
PROVENANCE,B2-ADAPTIVE-OBLIVIOUS,FULL_ORAM,cross_task,macro_f1,0.449706655360918,0.01788740610141863,0.5,0.49182064219115296,0.013104048022764032
PROVENANCE,B2-ADAPTIVE-OBLIVIOUS,FULL_ORAM,cross_task,roc_auc,0.4473958333333333,0.01259426263776046,0.5,0.495094167949054,0.013157576802280876
PROVENANCE,B2-ADAPTIVE-OBLIVIOUS,FULL_ORAM,grouped_entity,accuracy,0.4388422035480859,0.02728597422260029,0.5,0.4963429816370993,0.007282254336809398
PROVENANCE,B2-ADAPTIVE-OBLIVIOUS,FULL_ORAM,grouped_entity,macro_f1,0.4388422035480859,0.02728597422260029,0.5,0.49250267755729865,0.006831891849642839
PROVENANCE,B2-ADAPTIVE-OBLIVIOUS,FULL_ORAM,grouped_entity,roc_auc,0.45581075567481893,0.016325689261976813,0.5,0.49613442223825954,0.009288292301507404
PROVENANCE,B2-ADAPTIVE-OBLIVIOUS,STRUCTURAL,cross_policy,accuracy,0.5,0.0,0.5,0.4948612516079078,0.00271655443571172
PROVENANCE,B2-ADAPTIVE-OBLIVIOUS,STRUCTURAL,cross_policy,macro_f1,0.3333333333333333,0.0,0.5,0.47032633171486904,0.01470752526391781
PROVENANCE,B2-ADAPTIVE-OBLIVIOUS,STRUCTURAL,cross_policy,roc_auc,0.5,0.0,0.5,0.49952370023971876,0.007573705718648406
PROVENANCE,B2-ADAPTIVE-OBLIVIOUS,STRUCTURAL,cross_task,accuracy,0.5,0.0,0.5,0.5296875,0.0034020690871988464
PROVENANCE,B2-ADAPTIVE-OBLIVIOUS,STRUCTURAL,cross_task,macro_f1,0.3333333333333333,0.0,0.5,0.3461447263120749,0.0014722109420454252
PROVENANCE,B2-ADAPTIVE-OBLIVIOUS,STRUCTURAL,cross_task,roc_auc,0.5,0.0,0.5,0.5,0.0
PROVENANCE,B2-ADAPTIVE-OBLIVIOUS,STRUCTURAL,grouped_entity,accuracy,0.5,0.0,0.5,0.5035694833488951,0.016625070591159186
PROVENANCE,B2-ADAPTIVE-OBLIVIOUS,STRUCTURAL,grouped_entity,macro_f1,0.3333333333333333,0.0,0.5,0.4844906425580215,0.02194047430171425
PROVENANCE,B2-ADAPTIVE-OBLIVIOUS,STRUCTURAL,grouped_entity,roc_auc,0.5,0.0,0.5,0.512896653833579,0.01436787290667023
