data_record_bytes,permission_record_bytes,history_record_bytes,architecture,privacy,logical_accesses,physical_paths,physical_blocks,physical_blocks_4k_equiv,bytes_action,tree_storage_bytes,position_map_bytes,stash_bytes,trusted_state_bytes,dummy_fraction,rounds_serial,rounds_parallel,local_compute_us,storage_amplification,read_write_amplification,logical_block_counts,block_sizes,tree_heights
512,256,256,SCAN-HISTORY,pass,2,2,200,531.5,2177024,36697088,36864,3072,39936,0.3333333333333333,2,3,36,6.666108630952381,2126.0,data:8192;perm:1024;hist-scan:4096,data:512;perm:256;hist:256,data:13;perm:10;hist:scan
512,256,256,SCAN-BOTH,pass,1,1,112,590.0,2416640,34863104,32768,3072,35840,0.3333333333333333,1,3,18,6.332961309523809,2360.0,data:8192;perm-scan:1024;hist-scan:4096,data:512;perm:256;hist:256,data:13;perm:scan;hist:scan
512,256,1024,MODULAR-ORAM,leak,3,3,300.0,51.5,210944.0,69198848,53248,6144,59392,0,3,3,54,7.999171401515151,117.71428571428571,data:8192;perm:1024;hist:4096,data:512;perm:256;hist:1024,data:13;perm:10;hist:12
512,256,1024,NAIVE-FIXED,pass,4,4,408,71.5,292864,69198848,53248,6144,59648,0.25,4,3,72,7.999171401515151,163.42857142857142,data:8192;perm:1024;hist:4096,data:512;perm:256;hist:1024,data:13;perm:10;hist:12
512,256,1024,CANONICAL-MODULAR,pass,4,4,408,71.5,292864,69198848,53248,6144,59648,0.25,4,3,72,7.999171401515151,163.42857142857142,data:8192;perm:1024;hist:4096,data:512;perm:256;hist:1024,data:13;perm:10;hist:12
512,256,1024,UNIFIED-FIXED,pass,3,3,360,90.0,368640,134213632,53248,6144,59392,0,3,3,54,15.514678030303031,205.71428571428572,unified:13312,unified:1024,unified:14
512,256,1024,UNIFIED-PACKED,pass,3.0,3.0,312.0,312.0,1277952.0,134201344,10424,6144,16568,0,3,3,54.0,15.513257575757576,713.1428571428571,packed-pages:2606,packed:4096,unified-packed:12
512,256,1024,RANDOMIZED-PARTITION,not_implemented,3.0,6.0,480.0,480.0,1966080.0,134086656,31272,6144,37416,0,6,6,108.0,15.5,1097.142857142857,packed-pages:2606,packed:4096,8 partitions:9
512,256,1024,HYBRID-P,pass,3,3,320,66.0,270336,67102720,49152,6144,317440,0.3333333333333333,3,2,54,7.75686553030303,150.85714285714286,data:8192;hist:4096,data:512;hist:1024,data:13;hist:12
512,256,1024,HYBRID-PH,pass,1,1,112,14.0,57344,33552384,32768,6144,4495360,0.5,1,1,18,3.8785511363636362,32.0,data:8192,data:512,data:13
