history_records,architecture,privacy,logical_accesses,physical_paths,physical_blocks,physical_blocks_4k_equiv,bytes_action,tree_storage_bytes,position_map_bytes,stash_bytes,trusted_state_bytes,dummy_fraction,rounds_serial,rounds_parallel,local_compute_us,storage_amplification,read_write_amplification,logical_block_counts,block_sizes,tree_heights
262144,MODULAR-ORAM,leak,3,3,372.0,73.0,299008.0,806337024,1085440,24576,1110016,0,3,3,54,7.999822212288686,66.74285714285715,data:8192;perm:1024;hist:262144,data:4096;perm:128;hist:256,data:13;perm:10;hist:18
262144,NAIVE-FIXED,pass,4,4,504,133.75,547840,806337024,1085440,24576,1110272,0.25,4,3,72,7.999822212288686,122.28571428571429,data:8192;perm:1024;hist:262144,data:4096;perm:128;hist:256,data:13;perm:10;hist:18
262144,CANONICAL-MODULAR,pass,4,4,504,133.75,547840,806337024,1085440,24576,1110272,0.25,4,3,72,7.999822212288686,122.28571428571429,data:8192;perm:1024;hist:262144,data:4096;perm:128;hist:256,data:13;perm:10;hist:18
262144,UNIFIED-FIXED,pass,3,3,480,480.0,1966080,17179852800,1085440,24576,1110016,0,3,3,54,170.4445708712614,438.85714285714283,unified:271360,unified:4096,unified:19
262144,UNIFIED-PACKED,pass,3.0,3.0,384.0,384.0,1572864.0,1073725440,102824,24576,127400,0,3,3,54.0,10.652633289986996,351.0857142857143,packed-pages:25706,packed:4096,unified-packed:15
262144,RANDOMIZED-PARTITION,not_implemented,3.0,6.0,624.0,624.0,2555904.0,1073610752,308472,24576,333048,0,6,6,108.0,10.65149544863459,570.5142857142857,packed-pages:25706,packed:4096,8 partitions:12
262144,HYBRID-P,pass,3,3,416,131.0,536576,805288960,1081344,24576,1236992,0.3333333333333333,3,2,54,7.989424171001301,119.77142857142857,data:8192;hist:262144,data:4096;hist:256,data:13;hist:18
262144,HYBRID-PH,pass,1,1,112,112.0,458752,268419072,32768,24576,67297280,0.5,1,1,18,2.663036410923277,102.4,data:8192,data:4096,data:13
262144,SCAN-PERMISSION,pass,3,3,416,163.0,667648,805420032,1081344,24576,1105920,0.25,3,3,54,7.990724561118335,149.02857142857144,data:8192;hist:262144;perm-scan:1024,data:4096;hist:256;perm:128,data:13;hist:18;perm:scan
262144,SCAN-HISTORY,pass,2,2,200,32882.75,134687744,336576000,36864,24576,61440,0.3333333333333333,2,3,36,3.33923419213264,30064.22857142857,data:8192;perm:1024;hist-scan:262144,data:4096;perm:128;hist:256,data:13;perm:10;hist:scan
262144,SCAN-BOTH,pass,1,1,112,32912.0,134807552,335659008,32768,24576,57344,0.3333333333333333,1,3,18,3.3301365409622887,30090.97142857143,data:8192;perm-scan:1024;hist-scan:262144,data:4096;perm:128;hist:256,data:13;perm:scan;hist:scan
