seed,dataset,architecture,feature,split,metric,value,permutation
1,natural,MODULAR-V2,F0,random,roc_auc,1.0,0.8666666666666667
1,natural,MODULAR-V2,F1,random,accuracy,1.0,0.8666666666666667
1,natural,MODULAR-V2,F1,random,roc_auc,1.0,0.8666666666666667
1,natural,MODULAR-V2,F2,random,accuracy,1.0,0.8666666666666667
1,natural,MODULAR-V2,F2,random,roc_auc,1.0,0.8666666666666667
1,natural,MODULAR-V2,F3,random,accuracy,1.0,0.8666666666666667
1,natural,MODULAR-V2,F3,random,roc_auc,1.0,0.8666666666666667
1,natural,MODULAR-V2,F4,random,accuracy,1.0,0.8666666666666667
1,natural,MODULAR-V2,F4,random,roc_auc,1.0,0.8666666666666667
1,natural,MODULAR-V2,F5,random,accuracy,1.0,0.8666666666666667
1,natural,MODULAR-V2,F5,random,roc_auc,1.0,0.8666666666666667
1,natural_balanced,MODULAR-V2,F0,random,accuracy,1.0,0.48333333333333334
1,natural_balanced,MODULAR-V2,F0,random,roc_auc,1.0,0.48333333333333334
1,natural_balanced,MODULAR-V2,F1,random,accuracy,1.0,0.5125
1,natural_balanced,MODULAR-V2,F1,random,roc_auc,1.0,0.5125
1,natural_balanced,MODULAR-V2,F2,random,accuracy,1.0,0.4888888888888889
1,natural_balanced,MODULAR-V2,F2,random,roc_auc,1.0,0.4888888888888889
1,natural_balanced,MODULAR-V2,F3,random,accuracy,1.0,0.4888888888888889
1,natural_balanced,MODULAR-V2,F3,random,roc_auc,1.0,0.4888888888888889
1,natural_balanced,MODULAR-V2,F4,random,accuracy,1.0,0.5
1,natural_balanced,MODULAR-V2,F4,random,roc_auc,1.0,0.5
1,natural_balanced,MODULAR-V2,F5,random,accuracy,1.0,0.5055555555555555
1,natural_balanced,MODULAR-V2,F5,random,roc_auc,1.0,0.5055555555555555
1,matched,MODULAR-V2-PAD,F0,random,accuracy,0.4986111111111111,0.4791666666666667
1,matched,MODULAR-V2-PAD,F0,random,roc_auc,0.5,0.4791666666666667
1,matched,MODULAR-V2-PAD,F1,random,accuracy,0.4986111111111111,0.4791666666666667
1,matched,MODULAR-V2-PAD,F1,random,roc_auc,0.5,0.4791666666666667
1,matched,MODULAR-V2-PAD,F2,random,accuracy,1.0,0.49166666666666664
1,matched,MODULAR-V2-PAD,F2,random,roc_auc,1.0,0.49166666666666664
1,matched,MODULAR-V2-PAD,F3,random,accuracy,1.0,0.49166666666666664
1,matched,MODULAR-V2-PAD,F3,random,roc_auc,1.0,0.49166666666666664
1,matched,MODULAR-V2-PAD,F4,random,accuracy,1.0,0.49166666666666664
1,matched,MODULAR-V2-PAD,F4,random,roc_auc,1.0,0.49166666666666664
1,matched,MODULAR-V2-PAD,F4,grouped_recipient,accuracy,1.0,0.46296296296296297
1,matched,MODULAR-V2-PAD,F4,grouped_recipient,roc_auc,1.0,0.46296296296296297
1,matched,MODULAR-V2-PAD,F5,random,accuracy,1.0,0.48194444444444445
1,matched,MODULAR-V2-PAD,F5,random,roc_auc,1.0,0.48194444444444445
1,natural,MODULAR-V2-PAD,F0,random,accuracy,0.8652777777777778,0.8666666666666667
1,natural,MODULAR-V2-PAD,F0,random,roc_auc,0.5,0.8666666666666667
1,natural,MODULAR-V2-PAD,F1,random,accuracy,1.0,0.8666666666666667
1,natural,MODULAR-V2-PAD,F1,random,roc_auc,1.0,0.8666666666666667
1,natural,MODULAR-V2-PAD,F2,random,accuracy,1.0,0.8666666666666667
1,natural,MODULAR-V2-PAD,F2,random,roc_auc,1.0,0.8666666666666667
1,natural,MODULAR-V2-PAD,F3,random,accuracy,1.0,0.8666666666666667
1,natural,MODULAR-V2-PAD,F3,random,roc_auc,1.0,0.8666666666666667
1,natural,MODULAR-V2-PAD,F4,random,accuracy,1.0,0.8666666666666667
1,natural,MODULAR-V2-PAD,F4,random,roc_auc,1.0,0.8666666666666667
1,natural,MODULAR-V2-PAD,F5,random,accuracy,1.0,0.8666666666666667
1,natural,MODULAR-V2-PAD,F5,random,roc_auc,1.0,0.8666666666666667
1,natural_balanced,MODULAR-V2-PAD,F0,random,accuracy,0.49722222222222223,0.5263888888888889
1,natural_balanced,MODULAR-V2-PAD,F0,random,roc_auc,0.5,0.5263888888888889
1,natural_balanced,MODULAR-V2-PAD,F1,random,accuracy,1.0,0.5125
1,natural_balanced,MODULAR-V2-PAD,F1,random,roc_auc,1.0,0.5125
1,natural_balanced,MODULAR-V2-PAD,F2,random,accuracy,1.0,0.4888888888888889
1,natural_balanced,MODULAR-V2-PAD,F2,random,roc_auc,1.0,0.4888888888888889
1,natural_balanced,MODULAR-V2-PAD,F3,random,accuracy,1.0,0.4888888888888889
1,natural_balanced,MODULAR-V2-PAD,F3,random,roc_auc,1.0,0.4888888888888889
1,natural_balanced,MODULAR-V2-PAD,F4,random,accuracy,1.0,0.4930555555555556
1,natural_balanced,MODULAR-V2-PAD,F4,random,roc_auc,1.0,0.4930555555555556
1,natural_balanced,MODULAR-V2-PAD,F5,random,accuracy,1.0,0.5013888888888889
1,natural_balanced,MODULAR-V2-PAD,F5,random,roc_auc,1.0,0.5013888888888889
1,matched,MODULAR-V2-HIST,F0,random,accuracy,0.4986111111111111,0.4791666666666667
1,matched,MODULAR-V2-HIST,F0,random,roc_auc,0.5,0.4791666666666667
1,matched,MODULAR-V2-HIST,F1,random,accuracy,0.4986111111111111,0.4791666666666667
1,matched,MODULAR-V2-HIST,F1,random,roc_auc,0.5,0.4791666666666667
1,matched,MODULAR-V2-HIST,F2,random,accuracy,1.0,0.49166666666666664
1,matched,MODULAR-V2-HIST,F2,random,roc_auc,1.0,0.49166666666666664
1,matched,MODULAR-V2-HIST,F3,random,accuracy,1.0,0.49166666666666664
1,matched,MODULAR-V2-HIST,F3,random,roc_auc,1.0,0.49166666666666664
1,matched,MODULAR-V2-HIST,F4,random,accuracy,1.0,0.49166666666666664
1,matched,MODULAR-V2-HIST,F4,random,roc_auc,1.0,0.49166666666666664
1,matched,MODULAR-V2-HIST,F4,grouped_recipient,accuracy,1.0,0.46296296296296297
1,matched,MODULAR-V2-HIST,F4,grouped_recipient,roc_auc,1.0,0.46296296296296297
1,matched,MODULAR-V2-HIST,F5,random,accuracy,1.0,0.48194444444444445
1,matched,MODULAR-V2-HIST,F5,random,roc_auc,1.0,0.48194444444444445
1,natural,MODULAR-V2-HIST,F0,random,accuracy,0.8652777777777778,0.8666666666666667
1,natural,MODULAR-V2-HIST,F0,random,roc_auc,0.5,0.8666666666666667
1,natural,MODULAR-V2-HIST,F1,random,accuracy,0.8652777777777778,0.8666666666666667
1,natural,MODULAR-V2-HIST,F1,random,roc_auc,0.5,0.8666666666666667
1,natural,MODULAR-V2-HIST,F2,random,accuracy,0.9625,0.8666666666666667
1,natural,MODULAR-V2-HIST,F2,random,roc_auc,0.9624364978239646,0.8666666666666667
1,natural,MODULAR-V2-HIST,F3,random,accuracy,0.9625,0.8666666666666667
1,natural,MODULAR-V2-HIST,F3,random,roc_auc,0.9624364978239646,0.8666666666666667
1,natural,MODULAR-V2-HIST,F4,random,accuracy,0.9625,0.8666666666666667
