sample_id,executor_code,event_count,request_bytes,response_bytes,wall_ns,cpu_ns,python_peak_bytes,rss_delta_bytes,thread_delta
458,1,1,1024,1024,22069200,0,16969,0,0
459,1,1,1024,1024,13903600,0,16969,0,0
460,1,1,1024,1024,1825800,0,16969,0,0
461,1,1,1024,1024,16922100,0,17033,0,0
462,1,1,1024,1024,16116600,0,17097,0,0
463,1,1,1024,1024,2165100,0,17097,0,0
464,1,1,1024,1024,13100900,0,17097,0,0
465,1,1,1024,1024,17637500,0,17097,0,0
466,1,1,1024,1024,15233800,0,17097,0,0
467,1,1,1024,1024,16155400,0,17097,0,0
468,1,1,1024,1024,14718500,0,17097,0,0
469,1,1,1024,1024,20474000,0,17097,0,0
470,1,1,1024,1024,3267600,0,17097,0,0
471,1,1,1024,1024,12876800,0,17097,0,0
472,1,1,1024,1024,2239500,0,17097,0,0
473,1,1,1024,1024,25248000,31250000,17194,0,0
474,1,1,1024,1024,37569100,15625000,17194,0,0
475,1,1,1024,1024,14798800,0,17097,0,0
476,1,1,1024,1024,19944900,0,17097,0,0
477,1,1,1024,1024,34090700,15625000,17194,0,0
478,1,1,1024,1024,3203100,0,17097,0,0
479,1,1,1024,1024,44712600,15625000,17194,0,0
480,1,1,1024,1024,2030100,0,17097,0,0
481,1,1,1024,1024,14769900,0,17097,0,0
482,1,1,1024,1024,14690100,0,17097,0,0
483,1,1,1024,1024,1637500,0,17097,0,0
484,1,1,1024,1024,2853700,0,17097,0,0
485,1,1,1024,1024,12083500,0,17097,0,0
486,1,1,1024,1024,25404900,31250000,17194,0,0
487,1,1,1024,1024,23161600,15625000,17242,0,0
488,1,1,1024,1024,18975500,0,16913,0,0
489,1,1,1024,1024,13937800,15625000,16969,0,0
490,1,1,1024,1024,16451300,0,16969,0,0
491,1,1,1024,1024,1683900,15625000,16969,0,0
492,1,1,1024,1024,35700000,15625000,17066,0,0
493,1,1,1024,1024,22183100,15625000,17066,0,0
494,1,1,1024,1024,23398500,0,16969,0,0
495,1,1,1024,1024,36563400,15625000,17066,0,0
496,1,1,1024,1024,17810200,0,16969,0,0
497,1,1,1024,1024,13615600,0,16969,0,0
498,1,1,1024,1024,17702400,0,16969,0,0
499,1,1,1024,1024,32946700,31250000,17066,0,0
500,1,1,1024,1024,17918000,0,16969,0,0
501,1,1,1024,1024,13876300,0,16969,0,0
502,1,1,1024,1024,18856500,0,16969,0,0
503,1,1,1024,1024,1591500,0,16969,0,0
504,1,1,1024,1024,15137500,0,16969,0,0
505,1,1,1024,1024,46437000,15625000,17066,0,0
506,1,1,1024,1024,1879200,0,16969,0,0
507,1,1,1024,1024,2851000,0,16969,0,0
508,1,1,1024,1024,15128500,0,16969,0,0
509,1,1,1024,1024,1407400,0,16969,0,0
510,1,1,1024,1024,32148300,15625000,17066,0,0
511,1,1,1024,1024,46572700,31250000,17066,0,0
512,1,1,1024,1024,15764000,0,16969,0,0
513,1,1,1024,1024,18937400,0,16969,0,0
514,1,1,1024,1024,1589200,0,16969,0,0
515,1,1,1024,1024,16059500,15625000,16969,0,0
516,1,1,1024,1024,5425500,15625000,16969,0,0
517,1,1,1024,1024,43201800,31250000,17066,0,0
518,1,1,1024,1024,14907900,0,16969,0,0
519,1,1,1024,1024,35326000,15625000,17066,0,0
520,1,1,1024,1024,3539000,0,16969,0,0
521,1,1,1024,1024,2581000,0,16969,0,0
522,1,1,1024,1024,2090100,0,16969,0,0
523,1,1,1024,1024,22455600,0,16969,0,0
524,1,1,1024,1024,15451100,0,17033,0,0
525,1,1,1024,1024,2016500,0,17097,0,0
526,1,1,1024,1024,23725200,15625000,17194,0,0
527,1,1,1024,1024,10762900,0,17097,0,0
528,1,1,1024,1024,22204000,31250000,17194,0,0
529,1,1,1024,1024,11579600,0,17097,0,0
530,1,1,1024,1024,15084200,0,17097,0,0
531,1,1,1024,1024,3893700,0,17097,0,0
532,1,1,1024,1024,2863200,0,17097,0,0
533,1,1,1024,1024,26328100,0,17097,0,0
