system,distribution,variant,feature,split,metric,mean,std,chance,permutation_mean,permutation_std
GAAP-derived,natural,UNIFIED-ORAM-PAD,F2,random,accuracy,0.6898148148148149,0.010536858034019497,0.5,0.700925925925926,0.010289866097635603
GAAP-derived,natural,UNIFIED-ORAM-PAD,F2,random,macro_f1,0.40819623678319444,0.003679156387499652,0.5,0.700925925925926,0.010289866097635603
GAAP-derived,natural,UNIFIED-ORAM-PAD,F2,random,roc_auc,0.5,0.0,0.5,0.700925925925926,0.010289866097635603
GAAP-derived,natural,UNIFIED-ORAM-PAD,F3,random,accuracy,0.6898148148148149,0.010536858034019497,0.5,0.700925925925926,0.010289866097635603
GAAP-derived,natural,UNIFIED-ORAM-PAD,F3,random,macro_f1,0.40819623678319444,0.003679156387499652,0.5,0.700925925925926,0.010289866097635603
GAAP-derived,natural,UNIFIED-ORAM-PAD,F3,random,roc_auc,0.5,0.0,0.5,0.700925925925926,0.010289866097635603
GAAP-derived,natural,UNIFIED-ORAM-PAD,F4,random,accuracy,0.6898148148148149,0.010536858034019497,0.5,0.700925925925926,0.010289866097635603
GAAP-derived,natural,UNIFIED-ORAM-PAD,F4,random,macro_f1,0.40819623678319444,0.003679156387499652,0.5,0.700925925925926,0.010289866097635603
GAAP-derived,natural,UNIFIED-ORAM-PAD,F4,random,roc_auc,0.5,0.0,0.5,0.700925925925926,0.010289866097635603
GAAP-derived,natural,UNIFIED-ORAM-PAD,F5,random,accuracy,0.6902777777777778,0.010079417156054293,0.5,0.6995370370370371,0.009236082103361132
GAAP-derived,natural,UNIFIED-ORAM-PAD,F5,random,macro_f1,0.4112477772449832,0.004657970607715336,0.5,0.6995370370370371,0.009236082103361132
GAAP-derived,natural,UNIFIED-ORAM-PAD,F5,random,roc_auc,0.5066466066197008,0.01008823711983068,0.5,0.6995370370370371,0.009236082103361132
PAuth-derived,balanced,CANONICAL-MODULAR,F0,random,accuracy,0.4740740740740741,0.012439841520874429,0.5,0.5023148148148148,0.009166199015381163
PAuth-derived,balanced,CANONICAL-MODULAR,F0,random,macro_f1,0.32156000953162645,0.005691452288403456,0.5,0.5023148148148148,0.009166199015381163
PAuth-derived,balanced,CANONICAL-MODULAR,F0,random,roc_auc,0.5,0.0,0.5,0.5023148148148148,0.009166199015381163
PAuth-derived,balanced,CANONICAL-MODULAR,F1,random,accuracy,0.4740740740740741,0.012439841520874429,0.5,0.5023148148148148,0.009166199015381163
PAuth-derived,balanced,CANONICAL-MODULAR,F1,random,macro_f1,0.32156000953162645,0.005691452288403456,0.5,0.5023148148148148,0.009166199015381163
PAuth-derived,balanced,CANONICAL-MODULAR,F1,random,roc_auc,0.5,0.0,0.5,0.5023148148148148,0.009166199015381163
PAuth-derived,balanced,CANONICAL-MODULAR,F2,random,accuracy,0.4740740740740741,0.012439841520874429,0.5,0.5023148148148148,0.009166199015381163
PAuth-derived,balanced,CANONICAL-MODULAR,F2,random,macro_f1,0.32156000953162645,0.005691452288403456,0.5,0.5023148148148148,0.009166199015381163
PAuth-derived,balanced,CANONICAL-MODULAR,F2,random,roc_auc,0.5,0.0,0.5,0.5023148148148148,0.009166199015381163
PAuth-derived,balanced,CANONICAL-MODULAR,F3,random,accuracy,0.4740740740740741,0.012439841520874429,0.5,0.5023148148148148,0.009166199015381163
PAuth-derived,balanced,CANONICAL-MODULAR,F3,random,macro_f1,0.32156000953162645,0.005691452288403456,0.5,0.5023148148148148,0.009166199015381163
PAuth-derived,balanced,CANONICAL-MODULAR,F3,random,roc_auc,0.5,0.0,0.5,0.5023148148148148,0.009166199015381163
PAuth-derived,balanced,CANONICAL-MODULAR,F4,grouped_entity,accuracy,0.512008931339483,0.004202564618700843,0.5,0.5138969192902088,0.014996646390282064
PAuth-derived,balanced,CANONICAL-MODULAR,F4,grouped_entity,macro_f1,0.33862313457285526,0.001838763351521603,0.5,0.5138969192902088,0.014996646390282064
PAuth-derived,balanced,CANONICAL-MODULAR,F4,grouped_entity,roc_auc,0.5,0.0,0.5,0.5138969192902088,0.014996646390282064
PAuth-derived,balanced,CANONICAL-MODULAR,F4,random,accuracy,0.4740740740740741,0.012439841520874429,0.5,0.5023148148148148,0.009166199015381163
PAuth-derived,balanced,CANONICAL-MODULAR,F4,random,macro_f1,0.32156000953162645,0.005691452288403456,0.5,0.5023148148148148,0.009166199015381163
PAuth-derived,balanced,CANONICAL-MODULAR,F4,random,roc_auc,0.5,0.0,0.5,0.5023148148148148,0.009166199015381163
