seed,analysis,secret,variant,feature_level,split,metric,value,chance,permutation
0,full_trajectory,permission_missing,FIXED-CANONICAL,SYMBOLIC,cross_policy,roc_auc,1.0,0.5,0.4983075827546256
0,full_trajectory,permission_missing,FIXED-CANONICAL,FULL,grouped_entity,accuracy,1.0,0.5,0.5849471830985915
0,full_trajectory,permission_missing,FIXED-CANONICAL,FULL,grouped_entity,macro_f1,1.0,0.5,0.4505640477501207
0,full_trajectory,permission_missing,FIXED-CANONICAL,FULL,grouped_entity,roc_auc,1.0,0.5,0.5049849180003178
0,full_trajectory,permission_missing,FIXED-CANONICAL,FULL,cross_policy,accuracy,1.0,0.5,0.5860119047619048
0,full_trajectory,permission_missing,FIXED-CANONICAL,FULL,cross_policy,macro_f1,1.0,0.5,0.46875018923322676
0,full_trajectory,permission_missing,FIXED-CANONICAL,FULL,cross_policy,roc_auc,1.0,0.5,0.4992274347020815
0,mediation_only,requires_history,TRUSTED-LOCAL,SYMBOLIC,grouped_entity,accuracy,0.47368421052631576,0.5,0.45230263157894735
0,mediation_only,requires_history,TRUSTED-LOCAL,SYMBOLIC,grouped_entity,macro_f1,0.32142857142857145,0.5,0.42530709577991554
0,mediation_only,requires_history,TRUSTED-LOCAL,SYMBOLIC,grouped_entity,roc_auc,0.31666666666666665,0.5,0.4688956442862693
0,mediation_only,requires_history,TRUSTED-LOCAL,SYMBOLIC,cross_policy,accuracy,0.43333333333333335,0.5,0.484375
0,mediation_only,requires_history,TRUSTED-LOCAL,SYMBOLIC,cross_policy,macro_f1,0.41714285714285715,0.5,0.4278810396663228
0,mediation_only,requires_history,TRUSTED-LOCAL,SYMBOLIC,cross_policy,roc_auc,0.43333333333333335,0.5,0.48287601114432094
0,mediation_only,requires_history,TRUSTED-LOCAL,SYMBOLIC,cross_task,accuracy,0.5185185185185185,0.5,0.4872685185185185
0,mediation_only,requires_history,TRUSTED-LOCAL,SYMBOLIC,cross_task,macro_f1,0.34146341463414637,0.5,0.32613101959743546
0,mediation_only,requires_history,TRUSTED-LOCAL,SYMBOLIC,cross_task,roc_auc,0.5,0.5,0.5
0,mediation_only,requires_history,TRUSTED-LOCAL,FULL,grouped_entity,accuracy,0.47368421052631576,0.5,0.46875
0,mediation_only,requires_history,TRUSTED-LOCAL,FULL,grouped_entity,macro_f1,0.32142857142857145,0.5,0.4479989830280814
0,mediation_only,requires_history,TRUSTED-LOCAL,FULL,grouped_entity,roc_auc,0.55,0.5,0.5037845834720834
0,mediation_only,requires_history,TRUSTED-LOCAL,FULL,cross_policy,accuracy,0.43333333333333335,0.5,0.4791666666666667
0,mediation_only,requires_history,TRUSTED-LOCAL,FULL,cross_policy,macro_f1,0.41714285714285715,0.5,0.4230421787795804
0,mediation_only,requires_history,TRUSTED-LOCAL,FULL,cross_policy,roc_auc,0.38666666666666666,0.5,0.49035409091118504
0,mediation_only,requires_history,TRUSTED-LOCAL,FULL,cross_task,accuracy,0.5185185185185185,0.5,0.5289351851851851
0,mediation_only,requires_history,TRUSTED-LOCAL,FULL,cross_task,macro_f1,0.34146341463414637,0.5,0.4291164908699066
0,mediation_only,requires_history,TRUSTED-LOCAL,FULL,cross_task,roc_auc,0.489010989010989,0.5,0.5116374363540418
0,full_trajectory,permission_missing,TRUSTED-LOCAL,SYMBOLIC,grouped_entity,accuracy,1.0,0.5,0.5752640845070423
0,full_trajectory,permission_missing,TRUSTED-LOCAL,SYMBOLIC,grouped_entity,macro_f1,1.0,0.5,0.4788762162057737
0,full_trajectory,permission_missing,TRUSTED-LOCAL,SYMBOLIC,grouped_entity,roc_auc,1.0,0.5,0.5170260384382692
0,full_trajectory,permission_missing,TRUSTED-LOCAL,SYMBOLIC,cross_policy,accuracy,1.0,0.5,0.5479166666666666
0,full_trajectory,permission_missing,TRUSTED-LOCAL,SYMBOLIC,cross_policy,macro_f1,1.0,0.5,0.48532660844079
0,full_trajectory,permission_missing,TRUSTED-LOCAL,SYMBOLIC,cross_policy,roc_auc,1.0,0.5,0.49898629386402776
0,full_trajectory,permission_missing,TRUSTED-LOCAL,FULL,grouped_entity,accuracy,1.0,0.5,0.5836267605633803
0,full_trajectory,permission_missing,TRUSTED-LOCAL,FULL,grouped_entity,macro_f1,1.0,0.5,0.46663880548338843
0,full_trajectory,permission_missing,TRUSTED-LOCAL,FULL,grouped_entity,roc_auc,1.0,0.5,0.5227540625533352
0,full_trajectory,permission_missing,TRUSTED-LOCAL,FULL,cross_policy,accuracy,1.0,0.5,0.5681547619047619
0,full_trajectory,permission_missing,TRUSTED-LOCAL,FULL,cross_policy,macro_f1,1.0,0.5,0.4770632120787475
0,full_trajectory,permission_missing,TRUSTED-LOCAL,FULL,cross_policy,roc_auc,1.0,0.5,0.5045639276702896
1,mediation_only,requires_history,ORIGINAL-MEDIATOR,SYMBOLIC,grouped_entity,accuracy,1.0,0.5,0.48541666666666666
