baseline,real_operations,attempted_repetitions,measured_repetitions,metric,median,p95,mean,stddev
B3_PIR_PLUS_OHTTP_PADDED,25,30,30,logical_action_latency_ms,2.02249364,2.7332912800000004,2.03888516,0.5261823146534014
B3_PIR_PLUS_OHTTP_PADDED,25,30,30,framework_result_latency_ms,2.02249364,2.7332912800000004,2.03888516,0.5261823146534014
B3_PIR_PLUS_OHTTP_PADDED,25,30,30,session_wall_ms,50.562341,68.332282,50.972129,13.154557866335034
B3_PIR_PLUS_OHTTP_PADDED,25,30,30,bytes_sent,26975.0,26975.0,26975.0,0.0
B3_PIR_PLUS_OHTTP_PADDED,25,30,30,bytes_received,20000.0,20000.0,20000.0,0.0
B3_PIR_PLUS_OHTTP_PADDED,25,30,30,pir_request_bytes,7000.0,7000.0,7000.0,0.0
B3_PIR_PLUS_OHTTP_PADDED,25,30,30,pir_response_bytes,82400.0,82400.0,82400.0,0.0
B3_PIR_PLUS_OHTTP_PADDED,25,30,30,total_bytes,136375.0,136375.0,136375.0,0.0
B3_PIR_PLUS_OHTTP_PADDED,25,30,30,cpu_ms,114.0095,159.462,114.3905,30.838159635489493
B3_PIR_PLUS_OHTTP_PADDED,25,30,30,peak_rss_bytes,128098304.0,128098304.0,128098304.0,0.0
B3_PIR_PLUS_OHTTP_PADDED,50,30,30,logical_action_latency_ms,2.8868595,3.2306869799999998,2.8323053286666666,0.3261008347936134
B3_PIR_PLUS_OHTTP_PADDED,50,30,30,framework_result_latency_ms,2.8868595,3.2306869799999998,2.8323053286666666,0.3261008347936134
B3_PIR_PLUS_OHTTP_PADDED,50,30,30,session_wall_ms,144.342975,161.534349,141.61526643333335,16.305041739680668
B3_PIR_PLUS_OHTTP_PADDED,50,30,30,bytes_sent,53950.0,53950.0,53950.0,0.0
B3_PIR_PLUS_OHTTP_PADDED,50,30,30,bytes_received,40000.0,40000.0,40000.0,0.0
B3_PIR_PLUS_OHTTP_PADDED,50,30,30,pir_request_bytes,14000.0,14000.0,14000.0,0.0
B3_PIR_PLUS_OHTTP_PADDED,50,30,30,pir_response_bytes,164800.0,164800.0,164800.0,0.0
B3_PIR_PLUS_OHTTP_PADDED,50,30,30,total_bytes,272750.0,272750.0,272750.0,0.0
B3_PIR_PLUS_OHTTP_PADDED,50,30,30,cpu_ms,309.70600049999996,375.677,310.4016999666667,36.75527128312228
