admitted_real_agent_accesses,agent_access_bytes,agent_loader_failures,dummy_heavy_agent_executions,dummy_heavy_llm_executions,dummy_heavy_tool_executions,dummy_pir_queries,dummy_psi_queries,first_agent_retrieval_latency_ms,framework,framework_agent_as_tool_invocations,framework_model_invocations,gateway_bytes,gateway_public_sessions,gateway_relay_cells,overflow_count,profile_capacity_failures,profile_conformance,public_profile_instances,public_session_wall_ms,real_agent_executions,real_external_tool_api_calls,real_pir_queries,real_psi_queries,real_remote_llm_calls,repetition,retrieval_count,retrieval_failures,retrieval_latencies_ms_json,run_id,scheduled_agent_access_slots,semantic_applicable,semantic_success,silent_loss_count,source_campaign,task_latency_ms,total_agent_resolution_latency_ms,total_public_bytes,workload
0,9405600,0,0,0,0,4,4,,OpenAI Agents SDK,,,978959,1,521,0,0,True,1,7018.935374,0,0,0,0,0,5,0,0,[],V15C-054-OPENAI-IDLE_PROFILE_ONLY-R5,4,False,,0,V15D_P0_CORE,1146.087351,,10384559,IDLE_PROFILE_ONLY
1,9405600,0,0,0,0,3,3,435.675282,Microsoft Agent Framework,,,978959,1,521,0,0,True,1,7055.061091,1,0,1,1,0,5,1,0,[435.675282],V15C-055-MICROSOFT-PROVISIONED_ORDINARY-R5,4,True,True,0,V15D_P0_CORE,1171.031172,435.675282,10384559,PROVISIONED_ORDINARY
1,9405600,0,0,0,0,4,3,7297.758617,Microsoft Agent Framework,,,978959,1,521,0,0,True,1,7297.758617,1,0,0,1,0,5,1,0,[7297.758617],V15C-056-MICROSOFT-UNPROVISIONED_ORDINARY-R5,4,True,True,0,V15D_P0_CORE,7300.277781,7297.758617,10384559,UNPROVISIONED_ORDINARY
2,9405600,0,0,0,0,2,2,428.786088,Microsoft Agent Framework,,,978959,1,521,0,0,True,1,7075.351666,2,0,2,2,0,5,2,0,"[428.786088, 761.317209]",V15C-057-MICROSOFT-NESTED_AGENT_AS_TOOL-R5,4,True,True,0,V15D_P0_CORE,1192.199781,1190.103297,10384559,PROVISIONED_NESTED_AGENT_AS_TOOL
3,9405600,0,0,0,0,1,1,452.108891,Microsoft Agent Framework,,,978959,1,521,0,0,True,1,7034.998764,3,0,3,3,0,5,3,0,"[452.108891, 848.919893, 1158.565345]",V15C-058-MICROSOFT-REPEATED_AGENT-R5,4,True,True,0,V15D_P0_CORE,1160.309418,2459.594129,10384559,REPEATED_AGENT
0,9405600,0,0,0,0,4,4,,Microsoft Agent Framework,,,978959,1,521,0,0,True,1,7102.888891,0,0,0,0,0,5,0,0,[],V15C-060-MICROSOFT-IDLE_PROFILE_ONLY-R5,4,False,,0,V15D_P0_CORE,1168.920248,,10384559,IDLE_PROFILE_ONLY
1,9405600,0,0,0,0,3,3,470.350001,OpenAI Agents SDK,,,978959,1,521,0,0,True,1,7083.260435,1,0,1,1,0,6,1,0,[470.350001],V15C-061-OPENAI-PROVISIONED_ORDINARY-R6,4,True,True,0,V15D_P0_CORE,1185.359842,470.350001,10384559,PROVISIONED_ORDINARY
1,9405600,0,0,0,0,4,3,7274.097727,OpenAI Agents SDK,,,978959,1,521,0,0,True,1,7274.097727,1,0,0,1,0,6,1,0,[7274.097727],V15C-062-OPENAI-UNPROVISIONED_ORDINARY-R6,4,True,True,0,V15D_P0_CORE,7281.427361,7274.097727,10384559,UNPROVISIONED_ORDINARY
2,9405600,0,0,0,0,2,2,472.050137,OpenAI Agents SDK,,,978959,1,521,0,0,True,1,7097.038484,2,0,2,2,0,6,2,0,"[472.050137, 703.000609]",V15C-063-OPENAI-NESTED_AGENT_AS_TOOL-R6,4,True,True,0,V15D_P0_CORE,1204.774691,1175.0507460000001,10384559,PROVISIONED_NESTED_AGENT_AS_TOOL
3,9405600,0,0,0,0,1,1,437.623101,OpenAI Agents SDK,,,978959,1,521,0,0,True,1,7049.911535,3,0,3,3,0,6,3,0,"[437.623101, 791.431043, 1166.616959]",V15C-064-OPENAI-REPEATED_AGENT-R6,4,True,True,0,V15D_P0_CORE,1175.279899,2395.671103,10384559,REPEATED_AGENT
0,9405600,0,0,0,0,4,4,,OpenAI Agents SDK,,,978959,1,521,0,0,True,1,7089.610284,0,0,0,0,0,6,0,0,[],V15C-066-OPENAI-IDLE_PROFILE_ONLY-R6,4,False,,0,V15D_P0_CORE,1165.879761,,10384559,IDLE_PROFILE_ONLY
1,9405600,0,0,0,0,3,3,476.010856,Microsoft Agent Framework,,,978959,1,521,0,0,True,1,7217.427157,1,0,1,1,0,6,1,0,[476.010856],V15C-067-MICROSOFT-PROVISIONED_ORDINARY-R6,4,True,True,0,V15D_P0_CORE,1178.022736,476.010856,10384559,PROVISIONED_ORDINARY
1,9405600,0,0,0,0,4,3,7278.795576,Microsoft Agent Framework,,,978959,1,521,0,0,True,1,7278.795576,1,0,0,1,0,6,1,0,[7278.795576],V15C-068-MICROSOFT-UNPROVISIONED_ORDINARY-R6,4,True,True,0,V15D_P0_CORE,7281.350477,7278.795576,10384559,UNPROVISIONED_ORDINARY
2,9405600,0,0,0,0,2,2,466.818271,Microsoft Agent Framework,,,978959,1,521,0,0,True,1,7039.491899,2,0,2,2,0,6,2,0,"[466.818271, 684.624769]",V15C-069-MICROSOFT-NESTED_AGENT_AS_TOOL-R6,4,True,True,0,V15D_P0_CORE,1153.495991,1151.44304,10384559,PROVISIONED_NESTED_AGENT_AS_TOOL
3,9405600,0,0,0,0,1,1,477.656462,Microsoft Agent Framework,,,978959,1,521,0,0,True,1,7051.045335,3,0,3,3,0,6,3,0,"[477.656462, 820.006086, 1151.64191]",V15C-070-MICROSOFT-REPEATED_AGENT-R6,4,True,True,0,V15D_P0_CORE,1157.271287,2449.304458,10384559,REPEATED_AGENT
0,9405600,0,0,0,0,4,4,,Microsoft Agent Framework,,,978959,1,521,0,0,True,1,7074.796805,0,0,0,0,0,6,0,0,[],V15C-072-MICROSOFT-IDLE_PROFILE_ONLY-R6,4,False,,0,V15D_P0_CORE,1173.550227,,10384559,IDLE_PROFILE_ONLY
1,9405600,0,0,0,0,3,3,480.892646,OpenAI Agents SDK,,,978959,1,521,0,0,True,1,7103.068286,1,0,1,1,0,7,1,0,[480.892646],V15C-073-OPENAI-PROVISIONED_ORDINARY-R7,4,True,True,0,V15D_P0_CORE,1200.669064,480.892646,10384559,PROVISIONED_ORDINARY
1,9405600,0,0,0,0,4,3,7286.848649,OpenAI Agents SDK,,,978959,1,521,0,0,True,1,7286.848649,1,0,0,1,0,7,1,0,[7286.848649],V15C-074-OPENAI-UNPROVISIONED_ORDINARY-R7,4,True,True,0,V15D_P0_CORE,7293.899,7286.848649,10384559,UNPROVISIONED_ORDINARY
