runtime,family,variant,feature_set,model,mean_auc,ci_low,ci_high,permutation_baseline,permutation_p_value,episodes,tasks,split
Microsoft Agent Framework,AUTHORIZATION,M3,STRUCTURAL,LogisticRegression,0.427734375,0.286279296875,0.5685546875,0.4756640625,0.8235294117647058,32,16,WITHIN_TASK_REPETITION_HOLDOUT
Microsoft Agent Framework,AUTHORIZATION,M3,STRUCTURAL,RandomForest,0.42513020833333337,0.36691080729166664,0.5323296440972223,0.49193576388888877,0.8235294117647058,96,16,GROUPED_TASK_4FOLD
Microsoft Agent Framework,AUTHORIZATION,M3,STRUCTURAL,RandomForest,0.427734375,0.286279296875,0.5685546875,0.4756640625,0.8235294117647058,32,16,WITHIN_TASK_REPETITION_HOLDOUT
Microsoft Agent Framework,AUTHORIZATION,M3,SIZE,LogisticRegression,0.5,0.5,0.5,0.5,1.0,96,16,GROUPED_TASK_4FOLD
Microsoft Agent Framework,AUTHORIZATION,M3,SIZE,LogisticRegression,0.5,0.5,0.5,0.5,1.0,32,16,WITHIN_TASK_REPETITION_HOLDOUT
Microsoft Agent Framework,AUTHORIZATION,M3,SIZE,RandomForest,0.5,0.5,0.5,0.5,1.0,96,16,GROUPED_TASK_4FOLD
Microsoft Agent Framework,AUTHORIZATION,M3,SIZE,RandomForest,0.5,0.5,0.5,0.5,1.0,32,16,WITHIN_TASK_REPETITION_HOLDOUT
Microsoft Agent Framework,AUTHORIZATION,M3,ALL_OBSERVER,LogisticRegression,0.47916666666666663,0.37043185763888886,0.5914279513888888,0.49029513888888887,0.6274509803921569,96,16,GROUPED_TASK_4FOLD
Microsoft Agent Framework,AUTHORIZATION,M3,ALL_OBSERVER,LogisticRegression,0.6015625,0.3876953125,0.82421875,0.46890625,0.13725490196078433,32,16,WITHIN_TASK_REPETITION_HOLDOUT
Microsoft Agent Framework,AUTHORIZATION,M3,ALL_OBSERVER,RandomForest,0.4066840277777778,0.32265625,0.5141493055555556,0.49892361111111105,0.9607843137254902,96,16,GROUPED_TASK_4FOLD
Microsoft Agent Framework,AUTHORIZATION,M3,ALL_OBSERVER,RandomForest,0.357421875,0.149755859375,0.6986816406249999,0.4653125,0.7843137254901961,32,16,WITHIN_TASK_REPETITION_HOLDOUT
Microsoft Agent Framework,PROVENANCE_HISTORY,M2,READY_TIME,LogisticRegression,1.0,0.9999999999999999,1.0,0.5061458333333333,0.0196078431372549,96,16,GROUPED_TASK_4FOLD
Microsoft Agent Framework,PROVENANCE_HISTORY,M2,READY_TIME,LogisticRegression,1.0,1.0,1.0,0.50046875,0.0196078431372549,32,16,WITHIN_TASK_REPETITION_HOLDOUT
Microsoft Agent Framework,PROVENANCE_HISTORY,M2,READY_TIME,RandomForest,1.0,0.9999999999999999,1.0,0.5218446180555556,0.0196078431372549,96,16,GROUPED_TASK_4FOLD
